Front,Back
What is the minimum number of frames for a process with one-level indirect addressing?,At least 3 frames per process.
What primarily defines the minimum number of frames required for a system?,Computer architecture.
"For a ""move"" instruction straddling two frames with two indirect operands, how many frames might be needed?",6 frames.
What defines the maximum number of frames that can be allocated?,The total available physical memory.
"Define ""equal allocation"" in the context of virtual memory.","Assigns equal amounts of a resource to all requestors; in virtual memory, equal frames to each process."
"How are frames divided among 'n' processes using equal allocation, given 'm' frames?",Each process receives 'm/n' frames.
"Define ""proportional allocation"" in the context of virtual memory.","Assigns a resource in proportion to some aspect of the requestor; in virtual memory, page frames in proportion to process size."
When is proportional allocation used over equal allocation?,When processes need differing amounts of memory.
"How are frames allocated to process p_i with virtual memory size s_i using proportional allocation, given total size S and available frames m?","a_i ≈ (s_i/S) × m frames, ensuring a_i is an integer, greater than minimum, and sum ≤ m."
How does an increased multiprogramming level affect frame allocation to processes?,Processes lose frames.
How are high- and low-priority processes typically treated in standard equal or proportional allocation?,They are treated the same.
